image_id,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22
train_American_Goldfinch_0000,0.112000,3482.186172,0.278643,0.360360,0.195009,0.317089,0.184795,0.432080,0.206196,0.196826,0.126044,0.178461,0.274966,0.138962,0.210177,0.274977,0.124008,0.343320,0.426564,0.256951,0.382612,0.464932,0.260116
train_American_Goldfinch_0001,0.085510,1639.146565,0.515757,0.549565,0.390844,0.521365,0.162038,0.377405,0.178669,0.166376,0.133745,0.553532,0.578688,0.398832,0.551023,0.592100,0.426239,0.466167,0.501021,0.358505,0.492306,0.526450,0.379800
train_American_Goldfinch_0002,0.120056,877.522512,0.234823,0.249504,0.118444,0.230178,0.156234,0.413927,0.189751,0.168832,0.058647,0.310413,0.281340,0.131954,0.199908,0.277579,0.122252,0.260972,0.248164,0.117042,0.168000,0.190931,0.102529
train_American_Goldfinch_0003,0.100708,790.382444,0.366773,0.411882,0.186815,0.372726,0.127968,0.426613,0.137727,0.135793,0.108640,0.353289,0.390413,0.173558,0.416722,0.465874,0.215649,0.355950,0.416170,0.169368,0.341130,0.375070,0.188684
train_American_Goldfinch_0004,0.063110,936.931263,0.462590,0.490957,0.418240,0.474108,0.131624,0.357896,0.137930,0.132016,0.132420,0.462390,0.495290,0.405118,0.529964,0.551577,0.508175,0.372088,0.411225,0.328608,0.485917,0.505737,0.431058
train_American_Goldfinch_0005,0.021240,266.449965,0.375894,0.422160,0.403293,0.406169,0.046452,0.351406,0.053549,0.048105,0.071594,0.384813,0.427283,0.399557,0.376199,0.428745,0.438295,0.372674,0.411202,0.353605,0.369890,0.421410,0.421714
train_American_Goldfinch_0006,0.088806,1397.435575,0.451339,0.560443,0.283257,0.496213,0.110659,0.432762,0.123887,0.113623,0.103070,0.472011,0.580632,0.313671,0.451446,0.579175,0.268874,0.449041,0.534003,0.283136,0.432860,0.547964,0.267346
train_American_Goldfinch_0007,0.154480,2510.538975,0.463305,0.449951,0.184406,0.423662,0.110377,0.422084,0.149073,0.104991,0.090248,0.419795,0.420385,0.175754,0.425219,0.440048,0.155494,0.454030,0.446723,0.186676,0.554177,0.492649,0.219699
train_American_Goldfinch_0008,0.092896,679.245308,0.428167,0.425847,0.212269,0.402199,0.206677,0.401551,0.208812,0.223546,0.157356,0.342501,0.334878,0.162843,0.573419,0.596181,0.267028,0.418201,0.402451,0.222501,0.378546,0.369880,0.196703
train_American_Goldfinch_0009,0.100952,1030.711766,0.165486,0.142237,0.031737,0.136622,0.187913,0.487497,0.226246,0.196307,0.087244,0.167640,0.163591,0.005483,0.224143,0.202792,0.027606,0.088108,0.067345,0.044033,0.182052,0.135220,0.049827
train_American_Goldfinch_0010,0.074707,762.380703,0.294429,0.348626,0.142459,0.308927,0.147521,0.443818,0.162326,0.159003,0.093544,0.272499,0.307192,0.135074,0.389635,0.445719,0.178506,0.227839,0.311212,0.150278,0.287744,0.330380,0.105980
train_American_Goldfinch_0011,0.105469,1456.974577,0.532067,0.578344,0.369959,0.540752,0.214723,0.390676,0.220330,0.220902,0.196286,0.615606,0.643905,0.449764,0.567385,0.601313,0.355015,0.468676,0.513069,0.332110,0.476601,0.555092,0.342947
train_American_Goldfinch_0012,0.238098,1764.050937,0.512915,0.533999,0.309575,0.502122,0.156799,0.393663,0.180060,0.160387,0.145350,0.546843,0.551186,0.319027,0.501352,0.549048,0.310890,0.482289,0.484483,0.294499,0.521176,0.551279,0.313884
train_American_Goldfinch_0013,0.159241,2742.017858,0.585444,0.567594,0.539802,0.569764,0.220949,0.345835,0.197398,0.227047,0.280696,0.610017,0.590542,0.554246,0.592075,0.551158,0.492773,0.574386,0.573954,0.566658,0.565296,0.554724,0.545531
train_American_Goldfinch_0014,0.068542,538.841125,0.404557,0.485668,0.199673,0.428806,0.160526,0.445609,0.199527,0.177610,0.126048,0.501141,0.556388,0.156711,0.465390,0.535430,0.182101,0.334538,0.420986,0.247934,0.317159,0.429869,0.211945
train_American_Goldfinch_0015,0.132019,1019.886599,0.307087,0.344508,0.161558,0.312478,0.136268,0.423670,0.169092,0.134859,0.118173,0.291292,0.341567,0.160843,0.262087,0.330629,0.117809,0.330485,0.365573,0.183899,0.344481,0.340264,0.183681
train_American_Goldfinch_0016,0.140686,3269.629327,0.388391,0.386614,0.333490,0.381094,0.151991,0.350377,0.164051,0.161451,0.148491,0.475251,0.472464,0.378340,0.388849,0.388808,0.374315,0.381088,0.377261,0.276882,0.308377,0.307922,0.304421
train_American_Goldfinch_0017,0.056824,478.191589,0.395087,0.399142,0.313905,0.388217,0.130851,0.360193,0.141525,0.143396,0.070693,0.319796,0.317231,0.291901,0.490652,0.503707,0.341104,0.328574,0.315188,0.281770,0.441324,0.460443,0.340843
train_American_Goldfinch_0018,0.135132,1112.771645,0.503185,0.588629,0.251012,0.524586,0.163884,0.438351,0.166958,0.177186,0.154820,0.452975,0.539223,0.207900,0.538674,0.644850,0.295928,0.492156,0.549112,0.235076,0.528935,0.621328,0.265143
train_American_Goldfinch_0019,0.326660,4327.624572,0.650195,0.644441,0.560617,0.636610,0.148563,0.350462,0.138641,0.147202,0.229573,0.691107,0.690086,0.622612,0.625378,0.625897,0.545213,0.629764,0.617734,0.491038,0.654531,0.644045,0.583606
train_American_Goldfinch_0020,0.152832,1546.970103,0.356586,0.329841,0.217537,0.325085,0.207494,0.394470,0.234356,0.202812,0.187113,0.344582,0.322029,0.200303,0.326130,0.305677,0.198640,0.319533,0.302555,0.188272,0.436100,0.389101,0.282932
train_American_Goldfinch_0021,0.085205,1593.715085,0.559486,0.681220,0.762898,0.654225,0.110716,0.380763,0.108560,0.130633,0.202509,0.531141,0.708892,0.835059,0.572085,0.637712,0.665299,0.537761,0.712766,0.837631,0.596958,0.665512,0.713603
train_American_Goldfinch_0022,0.127747,1703.805298,0.536416,0.536797,0.454750,0.527341,0.299239,0.351315,0.296775,0.295537,0.345226,0.599961,0.601260,0.553652,0.544155,0.546915,0.463958,0.539828,0.529002,0.424149,0.461720,0.470010,0.377241
train_American_Goldfinch_0023,0.066406,664.767549,0.572770,0.635573,0.317260,0.580509,0.168944,0.416604,0.164358,0.187606,0.141660,0.654123,0.686279,0.400982,0.569046,0.670129,0.254803,0.622316,0.692609,0.363500,0.445597,0.493275,0.249754
train_American_Goldfinch_0024,0.044861,693.969404,0.355002,0.525900,0.074654,0.423376,0.151705,0.550360,0.193804,0.163340,0.087611,0.397049,0.604580,0.076084,0.342209,0.512671,0.040527,0.404541,0.592191,0.105381,0.276210,0.394156,0.076626
train_American_Goldfinch_0025,0.202271,3515.804236,0.504694,0.525966,0.294257,0.493186,0.146535,0.396980,0.173520,0.148545,0.129058,0.548496,0.558061,0.273750,0.504103,0.514595,0.270370,0.455834,0.514840,0.324259,0.510343,0.516366,0.308649
